"No.","Time","Source","Destination","Protocol","Length","Info"
"453","927.239504","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"455","929.967920","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"456","932.154573","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"457","934.345863","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"460","936.423264","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"463","938.705386","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"464","941.062887","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"465","943.306988","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"467","945.936816","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"469","947.676254","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"470","950.249252","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"471","952.095609","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"472","954.697243","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"474","956.720688","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"476","959.546627","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"477","961.533441","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"478","964.134019","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"480","965.843141","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"482","968.999770","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"483","970.305672","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"484","973.474488","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"486","975.045397","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"488","978.230659","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"489","979.521124","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"490","982.825260","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"491","984.319267","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"494","987.452562","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"496","989.190680","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"497","992.300317","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"498","994.120314","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"501","996.989967","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"503","998.449372","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"504","1001.632833","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"505","1002.898371","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"507","1006.126407","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"508","1007.216683","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"510","1010.766699","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"511","1011.483303","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"513","1015.397941","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"514","1016.291267","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"516","1019.889277","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"517","1020.923862","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"518","1024.304950","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"520","1025.296117","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"522","1028.832562","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"523","1030.158462","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"524","1033.799440","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"525","1034.628485","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"528","1038.221645","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"529","1039.513605","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"531","1042.918667","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"532","1044.499622","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"534","1047.291878","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"537","1049.382092","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"538","1051.855981","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"539","1053.672650","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"541","1056.326031","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"543","1058.112990","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"544","1060.583067","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
