"No.","Time","Source","Destination","Protocol","Length","Info"
"116","132.209411","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","EIGRP","74","Update"
"117","132.211504","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"118","132.213533","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"119","132.217538","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Hello (Ack)"
"120","132.221852","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","EIGRP","74","Hello (Ack)"
"121","136.621379","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"122","136.627465","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"123","137.137958","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"124","137.207612","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c601:3aff:fe44:0 from c4:00:3a:44:00:00"
"125","137.209696","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c602:3aff:fe44:0 from c4:00:3a:44:00:00"
"126","137.209758","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c601:3aff:fe44:0 (rtr, sol)"
"127","137.211769","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c600:3aff:fe44:0 from c4:01:3a:44:00:00"
"128","137.213756","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c600:3aff:fe44:0 (rtr, sol)"
"129","137.215851","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c602:3aff:fe44:0 (rtr, sol)"
"130","137.219897","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c600:3aff:fe44:0 from c4:02:3a:44:00:00"
"131","137.250589","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c600:3aff:fe44:0 (rtr, sol)"
"132","140.962859","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"133","141.382522","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"134","141.419389","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"135","141.631629","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"136","142.007462","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"137","145.864271","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"138","145.866207","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"139","145.868268","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","EIGRP","74","Update"
"140","145.870364","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"141","145.872353","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"142","145.876749","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"143","145.878737","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Update"
"144","145.880833","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"145","145.884868","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"146","145.888874","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","EIGRP","74","Hello (Ack)"
"147","146.403093","c4:00:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R1  Port ID: FastEthernet0/0  "
"148","147.877493","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Update"
"149","147.879604","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"150","147.883999","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Hello (Ack)"
"151","147.885981","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Hello (Ack)"
"152","150.166426","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"153","150.554041","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"154","150.558199","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"155","150.945272","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"156","152.142171","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"157","154.109541","c4:02:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R3  Port ID: FastEthernet0/0  "
"158","154.580222","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"159","154.586237","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"160","154.590323","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Update"
"161","154.592490","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"162","154.592512","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"163","154.594514","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"164","154.596520","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"165","154.596597","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","EIGRP","74","Update"
"166","154.598559","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Hello (Ack)"
